index,Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
391,CHN,Shekou,Port of Shekou,22.470833,113.903333,CNSHK,Seaport,Large,"[22.470833, 113.903333]","Port of Shekou, Seaport - Large"
393,CHN,Tianjin,Port of Tianjin,39.009444,117.460278,CNTSN,Seaport,Large,"[39.009444, 117.460278]","Port of Tianjin, Seaport - Large"
395,CHN,Xiahai,Port of Xiahai,21.174167,110.410556,,Seaport,Large,"[21.174167, 110.410556]","Port of Xiahai, Seaport - Large"
403,CHN,Yantian,Port of Yantian,22.574167,114.267222,CNYTN,Seaport,Large,"[22.574167, 114.267222]","Port of Yantian, Seaport - Large"
415,COL,Cartagena,Port of Cartagena,10.403333,-75.530833,COCTG,Seaport,Large,"[10.403333, -75.530833]","Port of Cartagena, Seaport - Large"
463,CUB,Havana,Port of Havana,23.1325,-82.341944,,Seaport,Large,"[23.1325, -82.341944]","Port of Havana, Seaport - Large"
480,CUB,Santiago de Cuba,Port of Santiago de Cuba,20.001667,-75.860556,CUSCU,Seaport,Large,"[20.001667, -75.860556]","Port of Santiago de Cuba, Seaport - Large"
490,DNK,Copenhagen,Port of Copenhagen,55.696111,12.613333,DKCPH,Seaport,Large,"[55.696111, 12.613333]","Port of Copenhagen, Seaport - Large"
550,EGY,Alexandria,Port of Alexandria,31.183056,29.866667,,Seaport,Large,"[31.183056, 29.866667]","Port of Alexandria, Seaport - Large"
599,FIN,Helsinki,Port of Helsinki,60.159444,24.923333,FIHEL,Seaport,Large,"[60.159444, 24.923333]","Port of Helsinki, Seaport - Large"
618,FRA,Brest,Port of Brest,48.380556,-4.474167,FRBES,Deepwater Seaport,Large,"[48.380556, -4.474167]","Port of Brest, Deepwater Seaport - Large"
637,FRA,Le Havre,Port of Le Havre,49.466944,0.177778,FRLEH,Deepwater Seaport,Large,"[49.466944, 0.177778]","Port of Le Havre, Deepwater Seaport - Large"
640,FRA,Marseille,Port of Marseille,43.323611,5.352222,FRMRS,Seaport,Large,"[43.323611, 5.352222]","Port of Marseille, Seaport - Large"
672,DEU,Bremerhaven,Port of Bremerhaven,53.563611,8.554722,DEBRV,Seaport,Large,"[53.563611, 8.554722]","Port of Bremerhaven, Seaport - Large"
678,DEU,Hamburg,Port of Hamburg,53.524722,9.963333,DEHAM,Seaport,Very Large,"[53.524722, 9.963333]","Port of Hamburg, Seaport - Very Large"
681,DEU,Luebeck,Port of Lubeck,53.882778,10.725833,DELBC,Seaport,Large,"[53.882778, 10.725833]","Port of Lubeck, Seaport - Large"
722,GRC,Piraeus,Port of Piraeus,37.941111,23.633889,GRPIR,Seaport,Large,"[37.941111, 23.633889]","Port of Piraeus, Seaport - Large"
771,HKG,Hong Kong,Port of Hong Kong,22.321111,114.159722,HKHKG,Deepwater Seaport,Very Large,"[22.321111, 114.159722]","Port of Hong Kong, Deepwater Seaport - Very Large"
772,HKG,Kwai Chung,Hongkong International Terminals,22.331389,114.128056,HKHKC,Port Terminal,Large,"[22.331389, 114.128056]","Hongkong International Terminals, Port Terminal - Large"
